n_above_p97_5,n_above_p99_9,sd_of_S,median_gap,r_squared,leaveout_r_squared
1,0,1.2097639391483048,39.433697141180104,0.5885827883416507,0.5862279543130554
2,1,1.2858900421735058,40.602162580287384,0.5764765855754297,0.5574841552727909
3,0,1.2420306196874777,39.7968660324834,0.5848690598769222,0.5864810318460881
4,0,1.218850061973743,39.29131724626781,0.6057615084811088,0.62328103387795
3,0,1.31696288004479,39.32429590099558,0.5982502590551921,0.5913295355000332
3,0,1.250664081090195,39.582755150506976,0.5913453264407975,0.5920967121719269
1,1,1.1961964820408628,40.50564113352366,0.5985419163725922,0.6047024241566761
1,0,1.3570735262535005,41.04189642977841,0.5910689847342567,0.5967808339010533
4,0,1.3468947202433548,40.50253029902062,0.5824164025600973,0.5735769081744013
3,0,1.2045270203349148,41.40198685610559,0.5825299554064611,0.5839904402817961
3,0,1.373846083179051,39.847283587032166,0.6067692436861574,0.6255059015713871
3,0,1.0781001154046588,40.12552867707502,0.5817350832266885,0.5786336107190825
1,0,1.1300955856792603,39.90629274269142,0.5837836684823037,0.5746438581150313
3,1,1.29325160204762,38.68460784685166,0.6039894187529601,0.6185795112394903
1,0,1.030255855069647,40.293133913660064,0.5882736963858775,0.5939605185880017
2,0,1.3567278474948696,39.450969541211286,0.5865440773436452,0.5864489901982701
0,0,1.0987006177066814,38.25311853684812,0.6048210917482283,0.6099180279552416
3,0,1.1048457501045204,39.31954371466746,0.5750536137358757,0.5565313939923284
2,0,1.054557172434645,39.903915833780715,0.5920006255730528,0.5904469118930384
1,0,1.2708584417855113,39.86360058558627,0.5900980925313541,0.5875475215071788
9,0,1.6315096325238527,39.41374906204948,0.5868772511164497,0.5917901272233848
3,1,1.390560434494851,38.497115115429516,0.5919810761240778,0.5960281013509556
2,0,1.1501761991173383,40.15026894824844,0.6018484939748705,0.6065622414784029
1,0,1.1261468840685653,39.113415664735875,0.5912838112305929,0.5888596476487864
2,0,1.1523290517017664,39.35365699961776,0.6000178943182916,0.6095866861149977
2,0,1.2616177931326533,39.06083475602602,0.5952953174252462,0.5990732448056075
2,0,1.2572821322978178,39.101566925083574,0.5979685604968715,0.5978887637004039
3,0,1.370312734179,39.61296898140012,0.5868729941446404,0.5790543250302198
2,0,1.1364320809253154,39.432911710464644,0.5975275354932967,0.6027467526058397
4,0,1.4076063018489187,41.01442026148114,0.5832065542048062,0.5825789533982861
6,1,1.403769145689357,40.29976399649631,0.5834196842248756,0.5826019500371338
3,0,1.3679622766368318,38.80561322447254,0.5945629113769437,0.5911723956591686
2,0,1.3205384489449798,39.0722818011773,0.5839806159079768,0.5782775589751585
2,0,1.2094700307180475,40.338774636689,0.5927775127461865,0.594038396057424
5,0,1.1917350268137878,39.06747442761811,0.5790170726391962,0.5649566833742999
2,0,1.2397522395061003,38.99561726175052,0.5953239595716455,0.5944227640472097
1,0,1.1227944315949094,40.40971347346913,0.5939627789439248,0.5926597729255629
1,0,1.1644147705329178,39.23171880640294,0.5955320082946696,0.5986960819896339
2,0,1.2792440512174434,39.53341574791666,0.6013098904535423,0.6009242489203278
